crop,suitability_score,growing_recommendation,relevant_information, loamy, sandy,Arid,Clay,Sandy,loamy,sandy
Corn (Maize),8.5,Plant in well-drained soils with full sun exposure. Requires moderate watering.,"Thrives in hot, dry seasons (above 25°C). Needs well-drained, sandy loamy soil. Plant at the beginning of the rainy season. Corn is a staple crop that grows well in high temperatures with low humidity. It requires a growing period of 90-120 days.",1,0,0,0,1,0,0
Sorghum,8.0,"Sorghum thrives in hot, arid conditions. Plant in soil with good drainage and ensure regular watering.","Sorghum is drought-tolerant and can be used for food, animal feed, and biofuels. It typically matures in 110-120 days.",0,0,0,0,0,1,0
Millet,7.5,Millet is resilient to low temperatures. Plant in well-drained soil and water moderately.,Millet is a hardy cereal crop that grows well in cooler climates and poor soils. It matures in about 60-90 days.,0,0,0,0,0,0,1
Cowpeas,7.8,Plant in well-drained soil with moderate watering. Prefers full sun exposure.,Cowpeas are versatile legumes that grow well in hot climates and improve soil fertility. They mature in 60-90 days.,0,0,0,0,0,1,0
Groundnuts (Peanuts),7.0,"Groundnuts require loose, sandy soil and moderate temperatures. Ensure they receive plenty of sunlight and water.",Groundnuts are a valuable source of protein and oil. They have a growing period of 90-130 days.,0,0,0,0,0,0,1
Sesame,8.2,"Plant in well-drained, fertile soil. Requires full sun and moderate watering.",Sesame is drought-tolerant and produces seeds rich in oil. It matures in 90-110 days.,0,0,0,0,0,1,0
"Melon (Watermelon, Cantaloupe)",8.0,"Plant in warm, sunny locations with well-drained soil. Requires regular watering.","Melons thrive in warm climates and produce sweet, refreshing fruits. They mature in 70-90 days.",1,1,0,0,0,0,0
Cotton,8.0,Plant in well-drained soil with full sun exposure. Requires moderate watering.,"Cotton is a major fiber crop that grows well in hot, arid conditions. It matures in 150-180 days.",1,0,0,0,0,0,0
Kenaf,7.5,Plant in well-drained soil with full sun exposure. Requires regular watering.,Kenaf is a fiber crop used for paper and textiles. It matures in 120-150 days.,1,0,0,0,0,0,0
Hibiscus,7.5,Plant in well-drained soil with full sun. Requires regular watering.,"Hibiscus is grown for its flowers and calyxes, used in beverages and foods. It matures in 150-180 days.",1,0,0,0,0,0,0
Gum Arabic,8.0,Plant in arid or semi-arid areas with well-drained soil. Requires minimal watering.,Gum Arabic is harvested from Acacia trees and used as a stabilizer in food and beverages. Trees mature in 5-7 years.,0,0,1,0,0,0,0
Bambara Groundnut,7.8,Plant in well-drained soil with moderate watering. Prefers full sun exposure.,Bambara Groundnut is a resilient legume that improves soil fertility. It matures in 90-150 days.,0,0,0,0,0,1,0
Rice,9.0,Rice requires flooded or well-irrigated fields for optimal growth. Maintain consistent water levels and warm temperatures.,Rice is a primary food source in many regions and grows well in areas with high humidity and moderate temperatures.,1,0,0,1,0,0,0
Soybeans,8.5,"Soybeans grow best in warm, moist conditions. Plant in well-drained soil and ensure adequate water supply.","Soybeans are a versatile crop used for food, oil, and animal feed. They typically mature in 80-120 days.",0,0,0,0,0,1,0
Cassava,8.5,Plant in well-drained soil with full sun exposure. Requires minimal watering once established.,Cassava is a root crop that grows well in tropical climates. It can be harvested 8-18 months after planting.,0,0,0,0,0,1,1
Yams,8.5,"Plant in well-drained, fertile soil with moderate watering. Prefers full sun.",Yams are a staple food in many tropical regions. They mature in 8-12 months.,0,0,0,0,0,1,0
Cocoyam,8.0,"Plant in moist, well-drained soil with partial shade. Requires regular watering.",Cocoyam is a root vegetable that thrives in humid conditions. It matures in 6-12 months.,0,0,0,0,0,1,0
Plantains,9.0,"Plant in well-drained, fertile soil with full sun exposure. Requires regular watering.",Plantains are a staple food in many tropical regions. They can be harvested 9-12 months after planting.,0,0,0,0,0,1,0
Bananas,9.0,"Plant in well-drained, fertile soil with full sun exposure. Requires regular watering.",Bananas are a popular fruit crop in tropical regions. They can be harvested 9-12 months after planting.,0,0,0,0,0,1,0
Taro,8.0,"Plant in moist, well-drained soil with partial shade. Requires regular watering.",Taro is a root vegetable that thrives in humid conditions. It matures in 6-12 months.,0,0,0,0,0,1,0
Bambara Groundnuts,7.8,Plant in well-drained soil with moderate watering. Prefers full sun exposure.,Bambara Groundnut is a resilient legume that improves soil fertility. It matures in 90-150 days.,0,0,0,0,0,1,0
Sweet Potatoes,8.5,"Plant in well-drained, sandy soil with full sun exposure. Requires regular watering.",Sweet Potatoes are a versatile crop that grows well in warm climates. They mature in 90-120 days.,0,0,0,0,0,1,1
Cocoa,9.0,"Plant in well-drained, fertile soil with partial shade. Requires regular watering.","Cocoa is used to produce chocolate and grows well in humid, tropical climates. Trees begin to produce pods after 3-5 years.",0,0,0,0,0,1,0
Coffee,8.5,"Plant in well-drained, fertile soil with partial shade. Requires regular watering.",Coffee is a popular beverage crop that grows well in tropical regions. Trees begin to produce berries after 3-4 years.,0,0,0,0,0,1,0
Kolanut,8.0,"Plant in well-drained, fertile soil with partial shade. Requires regular watering.",Kolanut is a stimulant crop that grows well in tropical climates. Trees begin to produce nuts after 5-7 years.,0,0,0,0,0,1,0
Ugwu (Fluted Pumpkin),8.5,"Plant in well-drained, fertile soil with full sun exposure. Requires regular watering.",Ugwu is a leafy vegetable that grows well in tropical climates. It matures in 2-3 months.,0,0,0,0,0,1,0
Egusi (Melon Seeds),8.5,Plant in well-drained soil with full sun exposure. Requires regular watering.,Egusi is grown for its edible seeds used in soups and stews. It matures in 5-6 months.,0,0,0,0,0,1,0
Bitter Kola,8.0,"Plant in well-drained, fertile soil with partial shade. Requires regular watering.",Bitter Kola is a medicinal crop that grows well in tropical climates. Trees begin to produce nuts after 5-7 years.,0,0,0,0,0,1,0
Ogbono (Wild Mango),8.0,"Plant in well-drained, fertile soil with partial shade. Requires regular watering.",Ogbono is grown for its seeds used in cooking. Trees begin to produce fruits after 5-7 years.,0,0,0,0,0,1,0
Millet,7.5,Millet is resilient to low temperatures. Plant in well-drained soil and water moderately.,Millet is a hardy cereal crop that grows well in cooler climates and poor soils. It matures in about 60-90 days.,0,0,0,0,0,0,1
Groundnuts (Peanuts),7.0,"Groundnuts require loose, sandy soil and moderate temperatures. Ensure they receive plenty of sunlight and water.",Groundnuts are a valuable source of protein and oil. They have a growing period of 90-130 days.,0,0,0,0,0,0,1
Sweet Potatoes,8.5,"Plant in well-drained, sandy soil with full sun exposure. Requires regular watering.",Sweet Potatoes are a versatile crop that grows well in warm climates. They mature in 90-120 days.,0,0,0,0,0,1,1
Irish Potatoes,8.0,"Plant in well-drained, fertile soil with full sun exposure. Requires regular watering.",Irish Potatoes are a staple food that grows well in cooler climates. They mature in 90-120 days.,0,0,0,0,0,1,0
Peas,7.5,Plant in well-drained soil with full sun exposure. Requires moderate watering.,Peas are a cool-season crop that grows well in moderate climates. They mature in 60-70 days.,1,0,0,0,0,0,0
Carrots,7.5,"Plant in loose, sandy soil. Ensure the soil is well-drained and keep it consistently moist.",Carrots are root vegetables that thrive in cooler climates. They typically mature in 70-80 days.,0,0,0,0,0,0,1
Spinach,8.0,"Plant in cool, shaded areas. Requires regular watering and rich, well-drained soil.",Spinach is a leafy green vegetable that grows quickly and prefers cooler temperatures. It matures in 45-55 days.,0,0,0,0,0,1,0
